beer_ceiling,ticket_price,beer_price,attendance,beers_per_fan,total_beers,ticket_revenue,beer_revenue,total_revenue,profit,consumer_surplus,producer_surplus,externality_cost,social_welfare
5.0,138.79024751618437,5.0,15957.415311919749,2.711494611444175,43268.44563084716,2214733.620859892,195505.11840263839,2410238.7392625306,1406708.6080425056,6905997.438568404,1406708.6080425056,173073.78252338865,8139632.264087521
5.5,134.03338519975995,5.5,17137.332525325124,2.5370449544725853,43478.18301649504,2296974.6916632773,216419.81913252926,2513394.5107958065,1480668.8456028695,7230643.378753076,1480668.8456028695,173912.73206598015,8537399.492289966
6.0,129.49332413348864,6.0,18352.01124007865,2.373818879760411,43564.35076327397,2376462.9400129314,236855.32376534902,2613318.2637782805,1553993.1208039452,7545490.768240335,1553993.1208039452,174257.40305309588,8925226.485991186
6.5,125.16708277979089,6.5,19595.12880722181,2.221094294751435,43522.62879863985,2452665.109494197,256615.91531152662,2709281.0248057237,1626210.5002820394,7848130.9877834115,1626210.5002820394,174090.5151945594,9300250.972870892
7.0,121.05233063184458,7.0,20859.740186793006,2.0781955642189884,43350.6195269538,2525120.1659860425,275510.159035535,2800630.3250215775,1696863.3703082714,8136370.278375769,1696863.3703082714,173402.4781078152,9659831.170576224
7.5,117.14767521879435,7.5,22138.116453123646,1.944490521336831,43047.357603349876,2593428.8762063766,293351.9761574431,2886780.8523638197,1765512.9861269263,8408207.171797443,1765512.9861269263,172189.4304133995,10001530.72751097
8.0,113.45168160766299,8.0,23422.07347334431,1.8193876710490162,42613.83170780684,2657273.6222891477,309967.7279231559,2967241.3502123035,1831746.059001062,8661921.176110605,1831746.059001062,170455.32683122737,10323211.90828044
8.5,109.96399234447804,8.5,24702.566468533903,1.7023335733667813,42052.00824770975,2716392.830034822,325193.1526347054,3041585.9826695276,1895181.7626439384,8895988.805593524,1895181.7626439384,168208.032990839,10622962.535246624
9.0,106.68305666979536,9.0,25970.65401738645,1.5928103950164896,41366.32768426989,2770628.754288487,338887.86916438723,3109516.6234528744,1955478.6381631976,9109284.55813646,1955478.6381631976,165465.31073707956,10899297.885562578
9.5,103.60726912521436,9.5,27217.193159474344,1.4903336186074025,40562.69796969604,2819899.0565066016,350932.3495232504,3170831.406029852,2012340.9363466892,9300989.510935433,2012340.9363466892,162250.79187878416,11151079.655403338
10.0,100.73493742523922,10.0,28432.964233886818,1.394449899184919,39648.34410947188,2864192.8729146537,361229.91791566374,3225422.7908303174,2065523.9879494482,9470590.840280099,2065523.9879494482,158593.37643788752,11377521.451791659
10.5,98.06332474056819,10.5,29609.27283562366,1.304735058686928,38632.25633086469,2903583.7374118473,369714.06398359797,3273297.801395445,2114838.25572524,9617953.255217783,2114838.25572524,154529.02532345877,11578262.485619565
11.0,95.58878570562145,11.0,30738.094414678722,1.2207922094309918,37524.826194194065,2938217.1200038837,376348.8465687568,3314565.9665726405,2160151.8020819775,9743287.663217964,2160151.8020819775,150099.30477677626,11753340.160523165
11.5,93.30731465322911,11.5,31811.96819799938,1.1422499983308942,36337.22062106725,2968289.326389246,381125.5459195275,3349414.8723087735,2201391.0046274206,9847077.820695134,2201391.0046274206,145348.882484269,11903119.942838285
12.0,91.21370312788346,12.0,32824.59270037004,1.0687609640751734,35081.64333982238,2994052.653865244,384067.30634037877,3378119.9602056225,2238539.4646434835,9930117.544719653,2238539.4646434835,140326.57335928953,12028330.436003847
12.5,89.3018619896339,12.5,33770.81985769774,1.0,33770.81985769774,3015797.0942089115,385225.641967703,3401022.7361766146,2271635.171268903,9993444.143360896,2271635.171268903,135083.27943079095,12129996.035199007
13.0,87.56497832889384,13.0,34646.68543827027,0.9356629158563308,32417.61872192904,3033836.2595701385,384677.140655521,3418513.4002256594,2300766.0969505175,10038284.155189449,2300766.0969505175,129670.47488771616,12209379.777252251
13.5,85.99522691243861,13.5,35449.66503511747,0.8754650921087711,31034.944265194197,3048501.988664868,382522.47045514174,3431024.4591200096,2326064.495705762,10066033.925716018,2326064.495705762,124139.77706077679,12267958.644361004
14.0,84.58442638028441,14.0,36178.341860008724,0.819140220812924,29635.134939853,3060124.2936186697,378878.7696199085,3439003.0632385784,2347700.245613315,10078167.609085573,2347700.245613315,118540.539759412,12307327.314939477
14.5,83.32332778583728,14.5,36832.853046702585,0.7664391275010192,28230.139752487983,3069035.8876979747,373880.68392796064,3442916.5716259354,2365873.6143181934,10076254.528314106,2365873.6143181934,112920.55900995193,12329207.583622348
15.0,82.20273232612738,15.0,37414.19434638411,0.7171286688639856,26830.791388240894,3075549.0030535213,367669.51186079567,3443218.514914317,2380807.829415605,10061842.455709504,2380807.829415605,107323.16555296358,12335327.119572144
15.5,81.2128830040324,15.5,37924.548367322415,0.6709907013534459,25447.01930750235,3079961.9095361237,360393.6592773632,3440355.568813487,2392741.8070204277,10036477.364000067,2392741.8070204277,101788.0772300094,12327431.093790485
16.0,80.34413583315546,16.0,38366.79794240005,0.6278211161408496,24087.48590694805,3082547.2253674194,352201.2454561293,3434748.4708235487,2401923.3381114523,10001634.907400185,2401923.3381114523,96349.9436277922,12307208.301883847
16.5,79.5865143568914,16.5,38744.73392647664,0.5874289361645234,22759.77783240769,3083558.3228934705,343240.0788373955,3426798.401730866,2408602.9622941557,9958737.452786565,2408602.9622941557,91039.11132963076,12276301.30375109
17.0,78.9305770395184,17.0,39062.40462810381,0.5496354712700804,21470.083176710406,3083218.1378473877,333650.17045027536,3416868.308297663,2413028.681948319,9909086.439517375,2413028.681948319,85880.33270684163,12236234.788758853
17.5,78.3670355731582,17.5,39324.27203293819,0.5142735277066319,20223.43210287437,3081726.6252938174,323564.3723851693,3405290.9976789868,2415441.5950009585,9853885.564832158,2415441.5950009585,80893.72841149748,12188433.431421619
18.0,77.93946191621916,17.940858020478114,39512.72252165278,0.484986551777168,19163.13904710443,3079600.332182492,314359.798544756,3393960.1307272483,2416083.5105240056,9801496.320764523,2416083.5105240056,76652.55618841772,12140927.27510011
18.5,77.93950789550618,17.940851849366243,39512.692995746285,0.48498694983386476,19163.140455728902,3079599.8477146793,314359.7130343623,3393959.560749042,2416083.510523973,9801494.599023152,2416083.510523973,76652.56182291561,12140925.54772421
19.0,77.93920233550072,17.94091127549611,39512.88515778127,0.4849831166696501,19163.08219243072,3079602.751171718,314359.80321919656,3393962.5543909143,2416083.5104946718,9801502.773753729,2416083.5104946718,76652.32876972288,12140933.955478678
19.5,77.93908913523433,17.94087549745303,39512.969076374124,0.48498542445747084,19163.214079080222,3079604.8188412804,314361.3370135484,3393966.1558548287,2416083.5104717803,9801516.055849144,2416083.5104717803,76652.85631632089,12140946.710004603
20.0,77.93982206844518,17.940784537528433,39512.49678600963,0.4849912916865666,19163.216854008122,3079596.9689816027,314359.781538285,3393956.7505198875,2416083.510481219,9801487.295616703,2416083.510481219,76652.86741603249,12140917.93868189
